번호,제목,요약,원본링크,네이버뉴스링크,게시일
96,"가로수길은 '의료', 홍대입구는 '외식'... 상권별 매출 효자는?","주변 음식점들이 ‘더현대 서울 <b>맛집</b>’이라는 식으로 공격적인 마케팅을 이어가면서 주말 매출도 상당... <b>부산 서면</b>과 대구 동성로를 제외하고는 순위권에 든 지역이 없었다. 광주 상무지구, 대전 둔산동·은행동, 인천... ",https://www.mk.co.kr/economy/view/2022/578764,https://n.news.naver.com/mnews/article/024/0000076029?sid=101,2022-07-08 15:43:00
97,<b>부산</b> 사미헌 갈비탕 휴가철 <b>맛집</b> 급부상…전국 2위는 전주 베테랑 칼국...,<b>부산</b> <b>부산</b>진구 <b>서면</b>문화로(부전동)에 위치한 갈비탕집 ‘사미헌’이 휴가철 <b>맛집</b>으로 추천됐다. 마켓컬리 운영사 컬리는 올해 1월부터 지난 15일까지 판매된 레스토랑 간편식을 분석했더니 사미헌의 갈비탕이 전국 1위를... ,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20220625.99099006939,https://n.news.naver.com/mnews/article/658/0000013059?sid=101,2022-06-25 14:41:00
98,꼭 먹어봐야 할 <b>부산</b> 먹킷 리스트 50,"춘하추동 밀면 물밀면, 비빔밀면, 만두 주소 <b>부산</b>시 <b>부산</b>진구 <b>서면</b>문화로 48-1 문의 051-809-8659 45. 충렬통닭 버거앤치킨 수제버거, 후라이드치킨 주소 <b>부산</b>시 동래구 사직북로47번길 20-<b>2</b> 문의 0507-1387... ",https://www.gqkorea.co.kr/2022/06/08/%ec%97%ac%eb%a6%84%ec%9d%b4%eb%8b%88%ea%b9%8c-%eb%b6%80%ec%82%b0-%eb%a8%b9%ed%82%b7-%eb%a6%ac%ec%8a%a4%ed%8a%b8-50/?utm_source=naver&utm_medium=partnership,https://www.gqkorea.co.kr/2022/06/08/%ec%97%ac%eb%a6%84%ec%9d%b4%eb%8b%88%ea%b9%8c-%eb%b6%80%ec%82%b0-%eb%a8%b9%ed%82%b7-%eb%a6%ac%ec%8a%a4%ed%8a%b8-50/?utm_source=naver&utm_medium=partnership,2022-06-08 12:36:00
99,"다가오는 일상 회복, 예비 사장님들 어서 오세요",장소는 <b>부산</b> 토즈<b>서면</b>점으로 시간은 오후 1시부터 3시까지다. 예비창업자들이 실질적으로 필요로 하는 창업... 외식 프랜차이즈 대한곱창 관계자는 &quot;군자대한곱창은 소곱창 배달로 배달의 민족 <b>맛집</b> 랭킹에 등극되면서... ,http://moneys.mt.co.kr/news/mwView.php?no=2022052215223341278,https://n.news.naver.com/mnews/article/417/0000816216?sid=101,2022-05-24 21:03:00
100,"[레코드 <b>부산</b>] ⑨ 맛은 잊었어도, 추억은 잊을 수 없는 그때 그 식당","<b>부산 서면</b> 학원가를 중심으로는 작은 분식점들이 크게 늘어났습니다. 당시 500원 단위로 분식을 먹을 수 있는... 2010년대 이후부터는 SNS가 발달하면서, <b>맛집</b> 찾기 열풍이 입니다. 양보다 질, 먹는 데 돈을 아끼지 않는... ",http://www.busan.com/view/busan/view.php?code=2022052016120836703,https://n.news.naver.com/mnews/article/082/0001156625?sid=102,2022-05-21 15:43:00
101,코로나 팬데믹이 상권기준 바꿨다 직영보다 가맹·도심보다 골목 선호,지역 <b>맛집</b>으로 자리 잡아 현재 25평 매장에서 연간 7억원대 매출을 올리고 있다. 가맹점인 해운대점은 당초... <b>부산 서면</b>의 거리 일대. 사진/손원태기자 ◆상권에 나타난 빈익빈 부익부 심화 SK텔레콤의 빅데이터 분석... ,http://www.smedaily.co.kr/news/articleView.html?idxno=230190,http://www.smedaily.co.kr/news/articleView.html?idxno=230190,2022-05-09 11:16:00
102,"2년새 매출 45% 급감…강남역 상권, 봄날 오나","트렌디한 <b>맛집</b>이 많아 젊은 고객이 주로 찾는 상권”이라며 “젊은 층도 코로나19에 민감하게 반응하며... 이에 앞서 aT가 펴낸 ‘2021 국내외 외식 트렌드 보고서’를 보면 서울 홍대, <b>부산 서면</b>, 대구 중앙로역... ",https://www.joongang.co.kr/article/25064471,https://n.news.naver.com/mnews/article/025/0003188508?sid=101,2022-04-19 00:04:00
103,&quot;아무 때나 오세요&quot; &quot;해제 기념 한잔&quot; 2년 만에 일상회복 웃음꽃(종합),유명 <b>맛집</b>에는 손님이 몰려 장사진을 이뤘다. 폐업 위기 딛고 새벽 영업 재개 &quot;문 닫을 생각 없어&quot; 이른바 2차... <b>부산</b>진구 <b>서면</b> 등 <b>부산</b> 도심 번화가 식당은 거리두기 해제 첫날부터 북적였다. <b>서면</b> 태화쇼핑 뒷골목의 한... ,https://www.yna.co.kr/view/AKR20220418078451062?did=1195m,https://n.news.naver.com/mnews/article/001/0013121591?sid=102,2022-04-18 19:52:00
104,"코로나 2년, 강남역 매출 반토막…아메리카노 값은 78% 뛰었다","트렌디한 <b>맛집</b>들이 많이 있어 젊은 고객이 주로 유입되는 상권”이라며 “젊은 층도 코로나19에... 이에 앞서 aT가 펴낸 ‘2021 국내외 외식 트렌드 보고서’를 보면 서울 홍대, <b>부산 서면</b>, 대구 중앙로역, 광주... ",https://www.joongang.co.kr/article/25064325,https://n.news.naver.com/mnews/article/025/0003188366?sid=101,2022-04-18 15:00:00
105,외출객 늘자 <b>서면</b> 회복세…업체 빠져나간 <b>부산</b>역권 고전,대부분 식당 좌석이 여유로웠고 <b>맛집</b>으로 유명한 곳 역시 대기 줄이 3분의 1밖에 되지 않았다. 일대에는... 반면 <b>부산</b>진구 <b>서면</b> 젊음의 거리는 전혀 다른 모습이었다. 평일 오후인데도 사람이 끊임 없이 오가고 인기... ,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20220324.33003006193,https://n.news.naver.com/mnews/article/658/0000005129?sid=102,2022-03-24 00:44:00
106,재미·매출 多잡은 라이브11… 방송 켰다하면 빵빵 터진다 [11번가 예능...,"여기는 지금 <b>부산 서면</b>에 있는 사미헌 갈비탕집 앞입니다. 식사를 하고 계신 손님들과 실시간 인터뷰... <b>부산</b>, 제주, 강릉 등 지방을 직접 돌아다니며 숨은 <b>맛집</b>과 명소를 소개하고, 서울 강남 한복판의 불 꺼진... ",http://www.fnnews.com/news/202203161814263703,https://n.news.naver.com/mnews/article/014/0004804345?sid=101,2022-03-16 18:15:00
107,<b>부산</b><b>맛집</b> 요리·고급 한식을 이 한 봉지에…간편식의 진화,멀리 있는 <b>맛집</b>에 직접 가지 않고 줄을 서지 않아도 간편식을 통해 음식을 맛볼 수 있어 소비자에게 인기가... <b>부산 서면</b>의 유명 한식당인 ‘사미헌’의 갈비탕 역시 간편식으로 재탄생해 쇼핑몰 마켓컬리의 대표... ,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20220311.22017002447,https://n.news.naver.com/mnews/article/658/0000004109?sid=101,2022-03-11 00:12:00
108,한식의 ‘New Normal’...봉골레 칼국수·봇밥·맡김차림 '한식 <b>2</b>.0’,GS25는 지난 1월 압구정 퓨전 한식 <b>맛집</b> ‘호족반’과 협업해 ‘봉골레 칼국수’‘트러플 감자 베이컨... 실제 <b>부산 서면</b> 직영점에서는 직원 한 명이 5개 오토웍을 활용해 80인분의 닭갈비철판볶음밥 단체 주문을 1시간 만에... ,https://www.mk.co.kr/economy/view/2022/156828,https://n.news.naver.com/mnews/article/024/0000073446?sid=101,2022-02-24 21:34:00
109,[프롭테크 기업 열전] &quot;호텔 운영의 페러다임 변화 선도하겠다&quot;,"한 유명 온라인 숙박 예약 플랫폼에선 쏘타컬렉션 더 테라스가 <b>부산</b>의 '뷰 <b>맛집</b>'으로 소개되며 유명세를... 현재 경기도 평택에 880실, <b>부산 서면</b>에 400실, 강원도 양양에 415실 규모의 생활형숙박시설 개발을 위한 계약을... ",https://www.paxnetnews.com/articles/84049,https://www.paxnetnews.com/articles/84049,2022-02-24 08:32:00
110,"尹, ‘쭉뻗’ 접고 ‘어퍼컷’…지지층 ‘호응’",윤 후보는 공식 선거운동 첫날(15일) 마지막 유세현장인 <b>부산 서면</b> 젊음의거리 유세에서 확연히 달라진... 온라인 커뮤니티에서는 “윤딩크” “무대체질” “어퍼컷 <b>맛집</b>” 등의 반응과 함께 이날까지도 세리모니 영상에... ,http://news.heraldcorp.com/view.php?ud=20220217000236,https://n.news.naver.com/mnews/article/016/0001952265?sid=100,2022-02-17 10:31:00
111,[다시 뛰는 100년 역사 <b>부산</b> 신발산업] (6)-<b>2</b> 커스텀 슈즈 청년작가 3인...,<b>부산</b> <b>부산</b>진구 <b>서면</b>에 위치한 KT&amp;G 상상마당 <b>부산</b> 2층에 위치한 파도블 매장 옆 '커스텀 슈즈 랩' 공간에서... <b>부산</b>이 원조이기 때문이라는 의미다. 사람들은 <b>맛집</b>을 가더라도 본점으로 모인다. 능력있고 개성있는 커스텀... ,https://www.nbntv.kr/news/articleView.html?idxno=273453,https://www.nbntv.kr/news/articleView.html?idxno=273453,2022-02-16 20:38:00
112,"갤러리아타임월드, 새콤달콤 봄 디저트 세계","선보이고, <b>부산 서면</b>의 유명 마카롱 <b>맛집</b> '프띠르' 팝업 매장에서는 '딸기 요거트 조개롱', '민트초코 마카롱' 발로나 초코 타르트 등 다양한 맛의 타르트·마카롱을 제안한다. 서울 이대 베이글 <b>맛집</b>으로 오픈런은... ",http://www.ggilbo.com/news/articleView.html?idxno=896702,http://www.ggilbo.com/news/articleView.html?idxno=896702,2022-02-16 19:08:00
113,"갤러리아타임월드, 새콤 달콤 봄 디저트 팝업행사","대전 지역에서 빵 <b>맛집</b>으로 유명한 '하레하레', '글로리데이즈'에서는 딸기를 활용해 만든 타르트, 미니 케이크, 생크림 딸기 빵 등 압도적인 비주얼을 자랑하는 디저트를 선보이고, <b>부산 서면</b>의 유명 마카롱 <b>맛집</b>... ",http://www.dtnews24.com/news/articleView.html?idxno=719770,http://www.dtnews24.com/news/articleView.html?idxno=719770,2022-02-16 17:38:00
114,[B:드라이브] '4000원의 행복'…MZ세대가 사랑한 '아날로그',"무엇을 파는 ‘<b>맛집</b>’인고 하니, MZ세대들의 사랑을 한 몸에 받는 ‘인생샷(인생에 길이 남을 만큼 잘 나온... <b>부산 서면</b> 권역(부전동·전포동)에는 7개 브랜드 15곳의 점포가 운영 중이다. <b>부산</b> 전역으로 확대하면 <b>서면</b>... ",http://www.busan.com/view/busan/view.php?code=2022021515140557679,https://n.news.naver.com/mnews/article/082/0001141578?sid=102,2022-02-16 07:01:00
115,AI은행원 빅테크 공세 막아낼까,인근 <b>맛집</b>까지 추천해 줬다. 다만 “<b>맛집</b>을 검색해 줘”보다 “<b>맛집</b>을 추천해 줘”를 정확하게 인식하는... 신한은행은 AI 은행원을 현재 서소문디지로그브랜치·한양대디지로그브랜치·여의도중앙지점·<b>부산서면</b>지점... ,https://magazine.hankyung.com/business/article/202202092739b,https://n.news.naver.com/mnews/article/050/0000059922?sid=101,2022-02-16 06:02:00
116,"여름엔 캐리비안베이, 겨울엔 눈썰매장~ 이 아파트 커뮤니티 <b>맛집</b>이네","이외에도 서울 마포구 신촌숲 아이파크는 국내 유명 수목원인 제이드가든이 조경에 참여해 주목 받았으며, <b>부산</b>의 <b>서면</b> 비스타동원의 경우 삼성물산 에버랜드 조경팀이 참여해 분양 당시 224.4대 1의 평균경쟁률로 흥행에... ",http://www.rcast.co.kr/sub02.php?BRD_ID=1644458966546,http://www.rcast.co.kr/sub02.php?BRD_ID=1644458966546,2022-02-10 12:08:00
117,65년 전통의 나고야식 민물장어덮밥,압구정로데오 <b>맛집</b> ‘양산도’ 나고야식 민물장어덮밥(히츠마부시)을 주 메뉴로 하는 ‘양산도’가 지난해... 그 후 그의 부친이 민물장어 양식과 유통업을 운영하면서 2019년에는 <b>부산 서면</b>에 ‘양산도’ 민물장어덮밥... ,http://www.naeil.com/news_view/?id_art=412311,http://www.naeil.com/news_view/?id_art=412311,2022-01-24 15:10:00
118,"지방에 스며드는 ‘라방’, 숨은 명소 기습한다…상생은 ‘덤’",지난 19일 정오 <b>부산 서면</b>에 있는 한식당 사미헌은 점심을 먹는 손님들과 방송 촬영팀으로 북적였다. 지역 <b>맛집</b>과 명소를 소개하기 위해 이커머스 11번가가 기획한 라이브커머스 <b>부산</b>특집 방송(라방) 촬영이 한창이었다.... ,https://www.hani.co.kr/arti/economy/consumer/1028261.html,https://n.news.naver.com/mnews/article/028/0002576465?sid=101,2022-01-21 05:03:00
119,"지난해 한국에서 매출 1위 기록한 상권은 강남역 아닙니다, 바로 이곳입...","유명한 <b>맛집</b>의 줄은 여전히 길고 대형 백화점의 매출액은 줄어들지 않는다. 지난해 전국에서... 이어 <b>부산 서면</b>역, 서울 성수역, 강남역 남부가 하루 46만명으로 뒤를 이었다. 한편 지오비전은 SK텔레콤이... ",https://www.wikitree.co.kr/articles/723408,https://www.wikitree.co.kr/articles/723408,2022-01-12 14:56:00
120,'생방송오늘저녁' <b>부산 서면</b> 우대갈비 짚불구이 <b>맛집</b> 위치는? 솥밥 무료...,"'생방송오늘저녁'에서 제주 여행 코스와 <b>부산 서면</b> 우대갈비 짚불구이 <b>맛집</b>을 찾아 뜨거운 화제다. 11일 MBC '생방송오늘저녁'의 '대박의 비밀' 코너에서는 &quot;月매출 1억 원! 고깃집의 비밀은?!&quot;이라는 주제를, '소문 듣고... ",http://www.topstarnews.net/news/articleView.html?idxno=14663383,http://www.topstarnews.net/news/articleView.html?idxno=14663383,2022-01-11 18:06:00
121,'생방송 오늘 저녁' 우대갈비·현무암디저트 등 <b>맛집</b> 비결은?,"사진=MBC '생방송 오늘 저녁' 홈페이지 '대박의 비밀'에서는 <b>부산 서면</b>으로 향해 우대갈비 <b>맛집</b> 비결을 소개한다. '소문 듣고 왔습니다'는 제주특별자치도 2탄으로 꾸며진다. 이날 바닷속 걷기부터 레몬농장, 현무암... ",http://www.mediapen.com/news/view/692958,http://www.mediapen.com/news/view/692958,2022-01-11 18:02:00
122,[안병익의 식신 <b>맛집</b>] &quot;올 한해도 정말 수고했어&quot; 우리를 위로해주는 따...,"서울 국밥 <b>맛집</b>으로는 명동 하동관, 인사동 이문설렁탕, 시청 무교동북어국집, 용두동 어머니대성집, 마포... 쌍둥이돼지국밥, <b>부산 서면</b> 송정3대국밥, 해운대 형제전통돼지국밥, <b>부산</b> 범일 50년전통할매국밥, 영도... ",http://www.enewstoday.co.kr/news/articleView.html?idxno=1536873,http://www.enewstoday.co.kr/news/articleView.html?idxno=1536873,2021-12-25 00:05:00
123,<b>서면</b> 상권 동보프라자 시대… ‘부동의 1위’ 교체 비결은?,"표준지 공시가격 분석 결과, <b>부산 서면</b> 동보프라자의 평균 지가가 금강제화 부지를 2년 연속 제치고 <b>부산</b>... “온라인 <b>맛집</b>으로 알려진 작은 점포 앞에 줄지어 앉아 웨이팅하는 모습까지도 멋으로 받아들이는 이들의... ",http://www.busan.com/view/busan/view.php?code=2021122319112931910,https://n.news.naver.com/mnews/article/082/0001133399?sid=101,2021-12-23 19:17:00
124,다시 시작된 거리두기 첫날…“저녁 예약 손님 3팀 모두 취소”,"제주시청 인근 대학로를 비롯해 광주 상무지구와 충장로, 인천 남동구 구월동, <b>부산 서면</b> 등 식당과 카페가 몰린 번화가도 한산한 모습을 보이기는 마찬가지였다. 줄을 서야 먹을 수 있는 이른바 '<b>맛집</b>'도 손님 발길이... ",http://www.newsway.co.kr/news/view?tp=1&ud=2021121820483063769,http://www.newsway.co.kr/news/view?tp=1&ud=2021121820483063769,2021-12-18 20:50:00
125,다시 시작된 거리두기 첫날…&quot;저녁 예약 손님 3팀 모두 취소&quot;(종합),"이들은 <b>2</b>∼3주 전에 8명, 7명, 4명으로 각각 예약했으나 사적 모임 인원이 4명까지 제한되자 곧바로 취소했다.... <b>부산</b> 중심가인 <b>부산</b>진구 <b>서면 맛집</b> 골목은 일부 음식점을 제외하고 한산한 분위기였다. 한 낙지전문점의... ",http://yna.kr/AKR20211218041351053?did=1195m,https://n.news.naver.com/mnews/article/001/0012816667?sid=102,2021-12-18 20:40:00
126,'거리두기 다시 시작'…손님 줄 서던 전국 유명 <b>맛집</b>도 발길 뚝,"제주시청 인근 대학로를 비롯해 광주 상무지구와 충장로, 인천 남동구 구월동, <b>부산 서면</b> 등 식당과 카페가 몰린 번화가도 한산한 모습을 보이기는 마찬가지였다. 줄을 서야 먹을 수 있는 이른바 '<b>맛집</b>'도 손님 발길이... ",http://yna.kr/AKR20211218041300053?did=1195m,https://n.news.naver.com/mnews/article/001/0012816756?sid=102,2021-12-18 16:08:00
127,'생활의 달인' <b>부산 서면</b> '토종닭 꼬치 오마카세' <b>맛집</b> 위치는? 김승현...,"김승현 달인의 토종닭 꼬치 오마카세 <b>맛집</b>은 <b>부산</b> <b>부산</b>진구 부전동, <b>서면</b> 일대에 위치해 있는 야키토리 비스트로다. 그곳에 가면 경력 12년차의 김승현 달인이 맛있는 음식과 따뜻한 분위기 아래 아늑함을 느낄 수 있다고... ",http://www.topstarnews.net/news/articleView.html?idxno=14653652,http://www.topstarnews.net/news/articleView.html?idxno=14653652,2021-11-29 21:16:00
128,[2022수능]&quot;무조건 놀아야죠&quot;…수험생 몰린 <b>부산</b> 번화가 '북적',18일 오후 6시 30분 <b>부산</b> <b>부산</b>진구 <b>서면</b> 일대. 수능 시험이 종료된 지 2시간가량 지났음에도 불구하고 번화가는 평소 평일 저녁 시간대에 비해 활기찬 분위기였다. 거리마다 <b>2</b>~3명의 수험생들끼리 이동하는 모습이 보였고... ,https://www.news1.kr/articles/?4497818,https://n.news.naver.com/mnews/article/421/0005734082?sid=102,2021-11-18 19:27:00
129,[dessert] 오픈런 부르는 디저트 <b>맛집</b>,끓어오르는 의지와 노력만으로는 구매가 어려운 <b>맛집</b> 디저트를 소개한다. 코운코운 @kounkounn 서울... bread <b>부산 서면</b>에 위치한 작은 빵집으로 오픈과 동시에 품절되는 빵이 생길 정도로 높은 인기를 자랑한다. 이곳의... ,https://woman.donga.com/3/all/12/3025269/1,https://woman.donga.com/3/all/12/3025269/1,2021-11-11 10:32:00
130,크림이야 빵이야? 크림 디저트로 유명한 <b>맛집</b> 플레이스 3,"주소강남대로 102길 30 @something_about_coffee_ 페이브 베이커리 방배본점에서 시작해, 연남, 흑석, <b>부산서면</b>까지 체인점들이 자리 잡기 시작한 페이브 베이커리. 다양한 종류의 베이커리와 커피로 유명한 이곳에서 특별히... ",http://www.elle.co.kr/article/59142,http://www.elle.co.kr/article/59142,2021-10-08 14:02:00
131,"‘놀토’ 에이티즈 산X우영, 방탄소년단 ‘덕밍아웃’","캐치해 <b>부산 서면</b>시장의 떡볶이를 맛보게 됐다. 이어 간식게임에서는 산이 ‘초성게임 - 햄버거 편’을 1등으로 맞히며 <b>맛집</b> 프로그램 같은 시식후기로 호평을 받은 것은 물론, 우영은 싸이의 ‘라잇 나우(Right Now)... ",http://sports.khan.co.kr/news/sk_index.html?art_id=202109260953003&sec_id=540201&pt=nv,https://m.entertain.naver.com/article/144/0000763597,2021-09-26 09:54:00
132,"'놀토' 에이티즈 산X우영, ‘아미’ 덕밍아웃→김동현과 ‘스우파’ 재...","캐치해 <b>부산 서면</b>시장의 떡볶이를 맛보게 됐다. 이어 간식게임에서는 산이 ‘초성게임 - 햄버거 편’을 1등으로 맞히며 <b>맛집</b> 프로그램 같은 시식후기로 호평을 받은 것은 물론, 우영은 싸이의 ‘라잇 나우(Right Now)... ",http://www.osen.co.kr/article/G1111660988,https://m.entertain.naver.com/article/109/0004480400,2021-09-26 08:21:00
133,"에이티즈 산·우영, 아미 덕밍아웃→‘스우파’ 재현? (‘놀토’)","캐치해 <b>부산 서면</b>시장의 떡볶이를 맛보게 됐다. 이어 간식게임에서는 산이 ‘초성게임 - 햄버거 편’을 1등으로 맞히며 <b>맛집</b> 프로그램 같은 시식후기로 호평을 받은 것은 물론, 우영은 싸이의 ‘라잇 나우(Right Now)... ",https://sports.donga.com/article/all/20210926/109415087/1,https://m.entertain.naver.com/article/382/0000934810,2021-09-26 08:20:00
134,"에이티즈 산X우영, '놀토' 출격…'아미' 덕밍아웃","캐치해 <b>부산 서면</b>시장의 떡볶이를 맛보게 됐다. 이어 간식게임에서는 산이 ‘초성게임 - 햄버거 편’을 1등으로 맞히며 <b>맛집</b> 프로그램 같은 시식후기로 호평을 받은 것은 물론, 우영은 싸이의 ‘라잇 나우(Right Now)... ",http://www.sportsseoul.com/news/read/1064882?ref=naver,https://m.entertain.naver.com/article/468/0000790907,2021-09-26 08:13:00
135,"에이티즈 산·우영, 방탄소년단 덕밍아웃부터 스우파 재현 [도레미마켓...","캐치해 <b>부산 서면</b>시장의 떡볶이를 맛보게 됐다. 사진=tvN '도레미마켓' 방송캡처 이어 간식게임에서는 산이 '초성게임 - 햄버거 편'을 1등으로 맞히며 <b>맛집</b> 프로그램 같은 시식후기로 호평을 받은 것은 물론, 우영은... ",http://www.slist.kr/news/articleView.html?idxno=288600,http://www.slist.kr/news/articleView.html?idxno=288600,2021-09-26 08:06:00
136,"'놀토' 에이티즈 산X우영, '아미' 덕밍아웃부터 김동현과 '스우파' 재현...","캐치해 <b>부산 서면</b>시장의 떡볶이를 맛보게 됐다. 이어 간식게임에서는 산이 ‘초성게임 - 햄버거 편’을 1등으로 맞히며 <b>맛집</b> 프로그램 같은 시식후기로 호평을 받은 것은 물론, 우영은 싸이의 ‘라잇 나우(Right Now)... ",http://biz.heraldcorp.com/view.php?ud=202109260801043068492_1,https://m.entertain.naver.com/article/112/0003480098,2021-09-26 08:03:00
137,"[안병익의 식신 <b>맛집</b>] 수수한 자연을 담은 대지의 선물, 천연발효종 빵...","수수한 자연을 담은 대지의 선물,천연발효종 빵 <b>맛집</b> BEST 5를 소개한다. 서울의 유명 빵집으로는 성북동... 모루과자점,<b>부산 서면</b> 쇼쿠팡,<b>부산</b> 동래 밀한줌,남천동 무슈뱅상,<b>서면</b> 아티성블렁제리빵빵빵,해운대... ",http://www.enewstoday.co.kr/news/articleView.html?idxno=1513332,http://www.enewstoday.co.kr/news/articleView.html?idxno=1513332,2021-09-18 00:05:00
138,정갈한 솥밥 먹고 프렌치 와인바에서 한 잔? 갓 오픈해 더 특별한 #신상...,주소 서울특별시 성수동 서울숲4길 26-24 1층 인스타그램 @manhak_official 몫몫 <b>부산 서면</b>에 위치한 '몫몫'은 세계 3대 요리학교 르 코르동 블루를 졸업한 권우정 셰프가 새롭게 문을 연 곳입니다. 관서식 스키야키를... ,http://www.elle.co.kr/article/58334,http://www.elle.co.kr/article/58334,2021-09-07 08:54:00
139,[르포]‘백신 인센티브’에도 하루 매출 4만원... ‘투잡’ 뛰는 자영업...,"인터넷 상에서 <b>맛집</b>으로 통하는 가게들 10곳 중 2곳만 3인 이상 손님이 있었다. 강남역 인근에서 족발집을... 11시부터 <b>부산 서면</b> 일대에서 차량시위를 진행하기로 했다. 차량시위는 <b>부산</b>을 시작으로 경남, 대전... ",https://biz.chosun.com/topics/topics_social/2021/08/25/24RGGEP6LJFS5LIVQY7DLP3YS4/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0000756636?sid=102,2021-08-25 10:16:00
140,'생방송투데이-리얼<b>맛집</b>' <b>부산 서면</b> 전포동 '볏짚훈연 고사리 우대갈비...,"또는 <b>맛집</b>과 명소가 두루 소개됐다. <b>부산</b> <b>부산</b>진구 전포동, <b>서면</b> 일대 전포역 인근 약 300m 거리에 위치한 '볏짚훈연 고사리 우대갈비' <b>맛집</b>은 인기 고깃집이다. 이날 방송을 통해서는 고사리 우대갈비를 집중 조명히... ",http://www.topstarnews.net/news/articleView.html?idxno=14614507,http://www.topstarnews.net/news/articleView.html?idxno=14614507,2021-07-14 18:56:00
141,또 문닫아야 하나···밤잠 설치는 지역상인들,8일 <b>부산</b>지역 최고 번화가인 <b>부산</b>진구 <b>서면</b> 롯데백화점 후문 인근에서 만난 족발집 사장 박모(54) 씨의... 사적모임이 4인까지 허용됐을 때는 젊은 층 사이에서 인기가 많은 <b>맛집</b>만 그럭저럭 영업이 됐지만 최근 들어 시내... ,https://www.sedaily.com/NewsView/22OU18JXLM,https://n.news.naver.com/mnews/article/011/0003934231?sid=102,2021-07-08 17:38:00
142,재즈공연에 플로팅 요가까지…루프탑 수영장서 호캉스 맘껏 즐긴다,"2ｍ)과 이를 둘러싼 썬 베드, 아이를 위한 원형 유아 풀과 자쿠지, 치킨 <b>맛집</b>으로 유명한 스낵바가 자리하고... <b>부산</b>진구 <b>서면</b> 전리단길에서 인기 있는 클래스만 선별해 매일(화요일 제외) 오후 2시30분부터 오후 5시까지... ",http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20210702.22012000296,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20210702.22012000296,2021-07-02 00:08:00
143,집합금지 풀린 청주·시간제한 해제된 <b>부산</b>···식당마다 ‘북적’,지난 주말 밤 <b>부산 서면</b>. 골목마다 사람들로 북새통을 이뤘다. 인파로 가득찬 거리는 앞사람을 추월하는... <b>맛집</b>으로 알려진 식당 앞에는 대기줄도 늘어섰다. 영업시간 제한이 풀린 것에 업주는 물론 시민들도 기대에... ,https://www.khan.co.kr/article/202107011526001,https://n.news.naver.com/mnews/article/032/0003083101?sid=102,2021-07-01 15:27:00
144,'생방송오늘저녁' <b>부산 서면</b> 족발파히타 vs 원주 된장목살스테이크·해...,"<b>부산</b>광역시 <b>부산</b>진구 부전동, <b>서면</b> 일대에 위치한 족발파히타 <b>맛집</b>은 족발과 멕시코 요리를 융합시킨 퓨전 식당이다. 족발파히타 이외에도 왕족 바비큐, 치즈족발, 닭볶음탕, 미니족바베큐, 보쌈바베큐 등을 판매한다. MBC... ",http://www.topstarnews.net/news/articleView.html?idxno=869319,http://www.topstarnews.net/news/articleView.html?idxno=869319,2021-04-02 18:18:00
145,"<b>부산</b> 스콜, 스테이크 먹으면 레드 와인 쏜다!",<b>부산 서면</b> 스테이크 <b>맛집</b>으로 이름난 스콜이 다가오는 봄을 맞이해 스테이크 특별 프로모션을 진행한다. 스콜은 인기 메뉴인 한우 채끝 스테이크 또는 블랙 앵거스 티본 스테이크 2종을 주문하면 레드 와인 1병을 선물로... ,http://www.busan.com/view/busan/view.php?code=2021032315553432835,https://n.news.naver.com/mnews/article/082/0001077057?sid=101,2021-03-23 15:56:00
146,거리두기 1.5단계 완화된 첫 주말 &quot;코로나 통금 풀렸지만 우려는 여전해...,20일 오후 6시쯤 찾은 <b>부산 서면</b> 젊음의거리. 이른바 코로나 통금이 사라지자 시민들도 모처럼 번화가를... 인근 <b>맛집</b>을 찾아 나온 시민들도 부쩍 늘었다. 서울 마포구에서 왔다는 박모(47) 씨는 &quot;설 연휴 때 부모님을 뵈러... ,https://www.pressian.com/pages/articles/2021022212075277203?utm_source=naver&utm_medium=search,https://n.news.naver.com/mnews/article/002/0002174503?sid=102,2021-02-22 12:43:00
147,노래방 꽉 차고 포차 앞 대기줄... 지방 ‘2차’가 살아났다,"음식점과 주점, 카페가 밀집한 <b>부산 서면</b> 거리도 비슷했다. 한 노래주점 직원은 “딱 2시간 만에 20팀을... 울산 지역 젊은이들이 즐겨 찾는 달동의 <b>맛집</b>과 주점들도 10~20테이블이 빈자리 없이 꽉 차 있었다. 강원도... ",https://www.chosun.com/national/national_general/2021/02/16/6CAIZICIVBDITIGDXFFCBLE5LI/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/023/0003596388?sid=102,2021-02-16 22:12:00
